"Feature ID"	Log_Ratio_Classification
ENSG00000261857	Denominator
ENSG00000280236	Denominator
ENSG00000156076	Denominator
ENSG00000248822	Denominator
ENSG00000173486	Denominator
ENSG00000156427	Denominator
ENSG00000234741	Denominator
ENSG00000124479	Denominator
ENSG00000186063	Denominator
ENSG00000105664	Denominator
ENSG00000137193	Denominator
ENSG00000243811	Denominator
ENSG00000136197	Denominator
ENSG00000233608	Denominator
ENSG00000109255	Denominator
ENSG00000158578	Denominator
ENSG00000254505	Denominator
ENSG00000171124	Denominator
ENSG00000161981	Denominator
ENSG00000136732	Denominator
ENSG00000221869	Denominator
ENSG00000084207	Denominator
ENSG00000186666	Denominator
ENSG00000150401	Denominator
ENSG00000265190	Denominator
ENSG00000138207	Denominator
ENSG00000159423	Denominator
ENSG00000128422	Denominator
ENSG00000204592	Denominator
ENSG00000159166	Denominator
ENSG00000181035	Denominator
ENSG00000075624	Denominator
ENSG00000143324	Denominator
ENSG00000104332	Denominator
ENSG00000168496	Denominator
ENSG00000117399	Denominator
ENSG00000108771	Denominator
ENSG00000135930	Numerator
ENSG00000100342	Numerator
ENSG00000160408	Numerator
ENSG00000165661	Numerator
ENSG00000169992	Numerator
ENSG00000102890	Numerator
ENSG00000157326	Numerator
ENSG00000078596	Numerator
ENSG00000148248	Numerator
ENSG00000166947	Numerator
ENSG00000185432	Numerator
ENSG00000243667	Numerator
ENSG00000117984	Numerator
ENSG00000164414	Numerator
ENSG00000136997	Numerator
ENSG00000008018	Numerator
ENSG00000174851	Numerator
ENSG00000127564	Numerator
ENSG00000030110	Numerator
ENSG00000100197	Numerator
ENSG00000101210	Numerator
ENSG00000128266	Numerator
ENSG00000167447	Numerator
ENSG00000105672	Numerator
ENSG00000163191	Numerator
ENSG00000164283	Numerator
ENSG00000178999	Numerator
ENSG00000198276	Numerator
ENSG00000196230	Numerator
ENSG00000148339	Numerator
ENSG00000134184	Numerator
ENSG00000179862	Numerator
ENSG00000173267	Numerator
ENSG00000185338	Numerator
ENSG00000175063	Numerator
ENSG00000204632	Numerator
ENSG00000172354	Numerator
